ID	Age	Embarked	Fare	Pclass	Sex	Survived	
1	<16.13336;32.10002)	S	very high	1	female	1	
2	<0.1667;16.13336)	S	very high	1	male	1	
3	<0.1667;16.13336)	S	very high	1	female	0	
4	<16.13336;32.10002)	S	very high	1	male	0	
5	<16.13336;32.10002)	S	very high	1	female	0	
6	<32.10002;48.06668)	S	higher	1	male	1	
7	<48.06668;64.03334)	S	very high	1	female	1	
8	<32.10002;48.06668)	S	very low	1	male	0	
9	<48.06668;64.03334)	S	very high	1	female	1	
10	<64.03334;80>	C	very high	1	male	0	
11	<32.10002;48.06668)	C	very high	1	male	0	
12	<16.13336;32.10002)	C	very high	1	female	1	
13	<16.13336;32.10002)	C	very high	1	female	1	
14	<16.13336;32.10002)	S	very high	1	female	1	
15	<64.03334;80>	S	higher	1	male	1	
16		S	higher	1	male	0	
17	<16.13336;32.10002)	C	very high	1	male	0	
18	<48.06668;64.03334)	C	very high	1	female	1	
19	<16.13336;32.10002)	C	very high	1	female	1	
20	<32.10002;48.06668)	C	very high	1	male	0	
21	<32.10002;48.06668)	S	very high	1	male	1	
22	<32.10002;48.06668)	S	very high	1	female	1	
23	<16.13336;32.10002)	C	higher	1	male	1	
24	<32.10002;48.06668)	C	very high	1	female	1	
25	<16.13336;32.10002)	S	very high	1	female	1	
26	<16.13336;32.10002)	C	higher	1	male	0	
27	<16.13336;32.10002)	C	very high	1	male	1	
28	<16.13336;32.10002)	C	very high	1	female	1	
29	<32.10002;48.06668)	S	very high	1	female	1	
30	<16.13336;32.10002)	S	higher	1	male	1	
31	<32.10002;48.06668)	S	higher	1	male	0	
32	<32.10002;48.06668)	C	higher	1	male	1	
33	<16.13336;32.10002)	S	very high	1	female	1	
34	<48.06668;64.03334)	S	higher	1	female	1	
35	<32.10002;48.06668)	S	higher	1	male	0	
36	<32.10002;48.06668)	C	very high	1	female	1	
37	<16.13336;32.10002)	S	very high	1	female	1	
38		S	higher	1	male	1	
39	<32.10002;48.06668)	S	higher	1	male	0	
40	<32.10002;48.06668)	C	very high	1	male	0	
41		C	higher	1	male	0	
42	<32.10002;48.06668)	C	higher	1	female	1	
43	<48.06668;64.03334)	S	very high	1	female	1	
44	<48.06668;64.03334)	C	very high	1	female	1	
45	<32.10002;48.06668)	C	very high	1	female	1	
46	<32.10002;48.06668)	S	higher	1	male	0	
47		S	higher	1	male	0	
48	<32.10002;48.06668)	S	higher	1	male	1	
49	<48.06668;64.03334)	C	higher	1	female	1	
50	<32.10002;48.06668)	C	very high	1	male	1	
51	<48.06668;64.03334)	C	very high	1	female	1	
52	<32.10002;48.06668)	S	very low	1	male	0	
53	<16.13336;32.10002)	S	very high	1	male	0	
54	<16.13336;32.10002)	S	very high	1	male	0	
55	<0.1667;16.13336)	S	very high	1	male	1	
56	<0.1667;16.13336)	S	very high	1	female	1	
57	<32.10002;48.06668)	S	very high	1	male	1	
58	<32.10002;48.06668)	S	very high	1	female	1	
59	<48.06668;64.03334)	S	higher	1	male	0	
60		C	higher	1	female	1	
61	<32.10002;48.06668)	S	very high	1	male	0	
62	<64.03334;80>	S	very high	1	female	1	
63	<32.10002;48.06668)	S	very high	1	male	0	
64	<32.10002;48.06668)	S	very high	1	female	1	
65	<16.13336;32.10002)	S	very high	1	male	1	
66	<32.10002;48.06668)	S	very high	1	female	1	
67	<32.10002;48.06668)	C	very high	1	female	1	
68	<16.13336;32.10002)	S	very high	1	female	1	
69	<32.10002;48.06668)	C	higher	1	male	1	
70		S	very high	1	female	1	
71		S	very low	1	male	0	
72	<16.13336;32.10002)	C	very high	1	male	0	
73	<16.13336;32.10002)	C	very high	1	female	1	
74	<16.13336;32.10002)	S	very high	1	female	1	
75		S	very high	1	male	0	
76	<32.10002;48.06668)	S	higher	1	male	0	
77	<32.10002;48.06668)	C	very high	1	female	1	
78	<32.10002;48.06668)	C	very high	1	male	0	
79	<48.06668;64.03334)	C	very high	1	female	1	
80	<48.06668;64.03334)	S	higher	1	female	1	
81		S	higher	1	male	0	
82	<64.03334;80>	S	very high	1	male	0	
83	<32.10002;48.06668)	S	very high	1	female	1	
84	<48.06668;64.03334)	S	higher	1	female	1	
85	<32.10002;48.06668)	C	very high	1	male	0	
86	<32.10002;48.06668)	C	very high	1	female	1	
87	<48.06668;64.03334)	S	higher	1	male	1	
88	<16.13336;32.10002)	S	higher	1	male	1	
89	<32.10002;48.06668)	S	very high	1	female	1	
90	<16.13336;32.10002)	S	very high	1	male	0	
91	<16.13336;32.10002)	S	very high	1	female	1	
92	<16.13336;32.10002)	S	very high	1	male	1	
93	<16.13336;32.10002)	S	very high	1	female	1	
94	<48.06668;64.03334)	S	very high	1	male	1	
95	<0.1667;16.13336)	S	very high	1	male	1	
96	<48.06668;64.03334)	S	very high	1	female	1	
